spell	freq
10일	0.0004205
않고	0.0004199
말한다.	0.0004152
되는	0.0004106
볼	0.0004101
1999년	0.0004052
거의	0.0004042
프랑스	0.0004033
하여	0.0003990
1998년	0.0003983
다양한	0.0003971
않은	0.0003966
2015년	0.0003957
–	0.0003956
주요	0.0003944
않는	0.0003938
20일	0.0003935
높은	0.0003924
25일	0.0003901
→	0.0003900
이름을	0.0003885
30일	0.0003867
의한	0.0003841
후에	0.0003829
서울	0.0003794
2일	0.0003792
영향을	0.0003783
않는다.	0.0003762
조선	0.0003755
그가	0.0003753
독일	0.0003746
따라서	0.0003734
성	0.0003732
크게	0.0003720
3일	0.0003709
4	0.0003702
28일	0.0003698
영국	0.0003693
5일	0.0003678
동시에	0.0003652
작은	0.0003647
가운데	0.0003618
역시	0.0003612
The	0.0003603
1997년	0.0003588
26일	0.0003549
어떤	0.0003539
21일	0.0003537
우승	0.0003520
14일	0.0003516
도쿄	0.0003514
다음	0.0003508
27일	0.0003499
1995년	0.0003485
군	0.0003483
16일	0.0003480
1996년	0.0003465
12일	0.0003455
중요한	0.0003451
11일	0.0003445
&	0.0003440
17일	0.0003431
4일	0.0003430
7일	0.0003429
23일	0.0003407
알려져	0.0003398
18일	0.0003393
29일	0.0003390
혹은	0.0003360
8일	0.0003349
최초의	0.0003341
각각	0.0003332
TV	0.0003327
24일	0.0003316
같다.	0.0003316
딸	0.0003309
6일	0.0003291
지역	0.0003283
22일	0.0003278
13일	0.0003273
가진	0.0003272
처음으로	0.0003270
인구는	0.0003254
직접	0.0003249
기준으로	0.0003243
있고,	0.0003216
9일	0.0003196
기원전	0.0003173
↔	0.0003167
사이에	0.0003160
19일	0.0003155
처음	0.0003151
이어	0.0003123
있다고	0.0003090
대통령	0.0003062
개의	0.0003052
시작했다.	0.0003050
역할을	0.0003047
=	0.0003036
서울특별시	0.0003034
드라마	0.0003034
있을	0.0003024
현대	0.0003018
ISBN	0.0002995
방송	0.0002979
받아	0.0002979
명의	0.0002977
마지막	0.0002973
열린	0.0002963
계속	0.0002955
중심으로	0.0002953
1994년	0.0002951
서로	0.0002949
아닌	0.0002943
로마	0.0002943
수도	0.0002938
될	0.0002933
5	0.0002929
이미	0.0002917
게임	0.0002882
이것은	0.0002882
몇	0.0002879
전쟁	0.0002868
선수	0.0002867
거쳐	0.0002862
있다는	0.0002846
and	0.0002843
것	0.0002829
내	0.0002829
등에	0.0002828
때문이다.	0.0002819
대학	0.0002813
1위	0.0002812
국제	0.0002811
받은	0.0002811
가지	0.0002805
한편	0.0002802
경기	0.0002801
위하여	0.0002800
아버지	0.0002798
이상	0.0002797
야구	0.0002793
바로	0.0002790
국도	0.0002786
존	0.0002785
졸업	0.0002777
후,	0.0002776
여자	0.0002766
앨범	0.0002765
1993년	0.0002765
1992년	0.0002764
만든	0.0002762
그를	0.0002762
없이	0.0002712
1987년	0.0002705
활동을	0.0002693
1991년	0.0002681
31일	0.0002655
최초로	0.0002641
이런	0.0002620
1990년	0.0002613
때,	0.0002607
자신이	0.0002601
이상의	0.0002587
이때	0.0002569
프로	0.0002567
러시아	0.0002565
개교	0.0002559
구	0.0002547
손자	0.0002532
유럽	0.0002518
싱글	0.0002514
어느	0.0002513
이름은	0.0002512
배우이다.	0.0002507
좋은	0.0002498
대부분의	0.0002478
알	0.0002476
방면	0.0002475
최고	0.0002468
보통	0.0002456
경상북도	0.0002452
받고	0.0002447
등으로	0.0002440
국제공항	0.0002436
음악	0.0002433
있는데,	0.0002428
?	0.0002422
1988년	0.0002413
두고	0.0002410
기타	0.0002409
하나이다.	0.0002409
있고	0.0002407
FIFA	0.0002405
이탈리아	0.0002403
1989년	0.0002382
원래	0.0002375
6	0.0002374
때문에,	0.0002373
달리	0.0002369
현재는	0.0002346
팀	0.0002345
일반적으로	0.0002337
들어	0.0002333
공립	0.0002330
있게	0.0002317
현재의	0.0002314
KBS2	0.0002295
하지	0.0002291
이유로	0.0002288
취임	0.0002283
결과	0.0002281
올림픽	0.0002274
온	0.0002265
●	0.0002259
주의	0.0002251
(KBS)	0.0002246
사용하는	0.0002239
있었던	0.0002234
공식	0.0002232
하다.	0.0002230
그녀는	0.0002229
예를	0.0002227
10	0.0002224
하나의	0.0002222
영국의	0.0002217
교장	0.0002206
철도	0.0002205
남자	0.0002200
대	0.0002194
걸쳐	0.0002176
국가	0.0002170
대신	0.0002168
1984년	0.0002164
1985년	0.0002163
경기에서	0.0002159
관련	0.0002155
사람이	0.0002154
이들은	0.0002151
더욱	0.0002149
되고	0.0002147
태어났다.	0.0002138
없었다.	0.0002129
모습을	0.0002128
그들의	0.0002126
있어서	0.0002114
이름으로	0.0002110
운영	0.0002109
전에	0.0002109
텔레비전	0.0002104
목적으로	0.0002104
•	0.0002103
많다.	0.0002103
밝혔다.	0.0002102
등과	0.0002102
1986년	0.0002097
따르면	0.0002094
7	0.0002094
것이라고	0.0002092
전라남도	0.0002090
것에	0.0002089
8	0.0002080
디지털	0.0002078
2년	0.0002078
변경	0.0002077
A	0.0002064
디젤	0.0002063
경상남도	0.0002060
곧	0.0002057
in	0.0002056
중에	0.0002053
경우가	0.0002047
보인다.	0.0002044
FC	0.0002041
제2차	0.0002041
는	0.0002033
본	0.0002022
■	0.0002021
설립	0.0002002
오브	0.0002000
이와	0.0001997
1980년	0.0001985
소속	0.0001982
비해	0.0001979
말했다.	0.0001978
가수	0.0001977
널리	0.0001973
포함한	0.0001966
프랑스의	0.0001962
속하는	0.0001958
그들은	0.0001956
1983년	0.0001956
지역의	0.0001955
또한,	0.0001955
완전히	0.0001950
독일의	0.0001948
대부분	0.0001947
공항	0.0001945
본선	0.0001936
먼저	0.0001930
보고	0.0001928
때는	0.0001927
경우,	0.0001927
있도록	0.0001925
라디오	0.0001925
대하여	0.0001920
겸	0.0001916
윈도	0.0001904
해당	0.0001904
최대	0.0001897
월드컵	0.0001893
정도로	0.0001892
초대	0.0001892
한국의	0.0001889
이름	0.0001888
+	0.0001887
그녀의	0.0001886
초기	0.0001884
전체	0.0001883
그대로	0.0001881
유명한	0.0001881
대회	0.0001880
고려	0.0001878
갖고	0.0001871
감독	0.0001869
1982년	0.0001869
네	0.0001868
가능하다.	0.0001864
영화이다.	0.0001859
사이의	0.0001854
어머니	0.0001846
의하여	0.0001845
배우	0.0001844
시리즈	0.0001842
날	0.0001841
새	0.0001833
알려진	0.0001833
비슷한	0.0001830
1981년	0.0001826
사용한다.	0.0001824
되었고,	0.0001823
사람들이	0.0001819
대전	0.0001818
강원도	0.0001818
이들	0.0001816
따른	0.0001812
고대	0.0001810
01	0.0001802
경우에는	0.0001801
1979년	0.0001798
시의	0.0001795
오사카	0.0001795
03.	0.0001794
오후	0.0001794
애니메이션	0.0001789
사용할	0.0001787
만에	0.0001787
기간	0.0001780
일을	0.0001778
비롯한	0.0001774
자주	0.0001774
각종	0.0001773
이전	0.0001772
위에	0.0001769
의	0.0001767
안	0.0001763
불리는	0.0001758
1945년	0.0001751
것이었다.	0.0001749
일반	0.0001748
시작하였다.	0.0001745
동생	0.0001740
여성	0.0001740
대표적인	0.0001725
도시	0.0001725
면적은	0.0001724
것도	0.0001722
번	0.0001721
대학교	0.0001714
간	0.0001714
평균	0.0001710
어린	0.0001709
즉,	0.0001702
과정에서	0.0001700
다	0.0001699
맡았다.	0.0001696
있기	0.0001694
하며,	0.0001692
있지	0.0001691
대해서는	0.0001688
이렇게	0.0001686
강	0.0001684
한편,	0.0001683
X	0.0001672
중에서	0.0001666
이름이	0.0001666
필요한	0.0001665
(MBC)	0.0001664
최고의	0.0001659
위치하고	0.0001659
지역에	0.0001658
못한	0.0001658
수상	0.0001657
말을	0.0001657
못했다.	0.0001657
않다.	0.0001655
부른다.	0.0001655
때까지	0.0001654
UEFA	0.0001649
만들어	0.0001647
관련된	0.0001646
그리스	0.0001646
구간	0.0001645
지방	0.0001643
연속	0.0001642
문제가	0.0001640
것과	0.0001639
인터넷	0.0001638
9	0.0001638
:*	0.0001638
이용하여	0.0001627
옛	0.0001623
강한	0.0001619
우승을	0.0001613
1973년	0.0001607
인한	0.0001601
바	0.0001597
3년	0.0001595
시대	0.0001594
구성되어	0.0001593
수많은	0.0001591
지정되었다.	0.0001587
끝에	0.0001587
형태로	0.0001586
충청남도	0.0001576
주는	0.0001575
남아	0.0001569
불구하고	0.0001564
문제를	0.0001562
보다	0.0001560
지냈다.	0.0001558
컴퓨터	0.0001556
정규	0.0001554
제국의	0.0001551
개발	0.0001550
따르면,	0.0001548
뉴욕	0.0001543
1회	0.0001538
공동	0.0001538
가는	0.0001536
실제	0.0001534
프로그램	0.0001531
정도	0.0001528
통산	0.0001527
사실을	0.0001511
제외한	0.0001507
시에	0.0001504
존재한다.	0.0001498
부인	0.0001497
그룹	0.0001495
연구	0.0001495
있지만,	0.0001494
1972년	0.0001490
교황	0.0001490
사건	0.0001489
하고,	0.0001485
못하고	0.0001485
인구	0.0001483
수가	0.0001482
()	0.0001481
적이	0.0001478
상대로	0.0001478
실제로	0.0001477
때에는	0.0001477
1974년	0.0001474
정부는	0.0001474
나머지	0.0001474
기능을	0.0001473
학교	0.0001473
밤	0.0001473
가까운	0.0001470
아시아	0.0001469
O	0.0001467
위해서	0.0001467
2010	0.0001465
쓴	0.0001464
일이	0.0001464
가능한	0.0001462
1970년	0.0001460
뒤에	0.0001457
정	0.0001455
기존의	0.0001452
아직	0.0001452
국내	0.0001450
경우도	0.0001450
안에	0.0001450
드	0.0001446
하며	0.0001444
(SBS)	0.0001442
관계를	0.0001440
12	0.0001439
공화국	0.0001439
사람은	0.0001439
유일한	0.0001437
스스로	0.0001436
설립된	0.0001433
경제	0.0001431
수는	0.0001430
간의	0.0001429
1969년	0.0001427
1978년	0.0001426
1971년	0.0001426
그러나,	0.0001424
제작	0.0001421
전라북도	0.0001421
정부	0.0001420
말	0.0001419
여기서	0.0001416
전기	0.0001416
전국	0.0001410
팀의	0.0001405
11	0.0001402
강력한	0.0001402
마찬가지로	0.0001402
만드는	0.0001401
아니다.	0.0001400
데뷔	0.0001399
더불어	0.0001398
1963년	0.0001398
시간	0.0001398
불린다.	0.0001397
중국의	0.0001397
은	0.0001396
사용된다.	0.0001395
사이에서	0.0001395
독립	0.0001394
삼성	0.0001392
2차	0.0001391
전투	0.0001390
스페인	0.0001388
교차로	0.0001388
지하철	0.0001387
하지만,	0.0001386
바탕으로	0.0001384
자기	0.0001379
2012	0.0001377
오전	0.0001376
하나로	0.0001376
낮은	0.0001376
항상	0.0001375
공격을	0.0001375
de	0.0001373
의하면	0.0001372
차트	0.0001369
등은	0.0001369
채	0.0001364
긴	0.0001364
곳에	0.0001361
시대의	0.0001361
새로	0.0001360
1975년	0.0001360
출신의	0.0001360
쉽게	0.0001357
특정	0.0001355
하기	0.0001354
만들어진	0.0001353
이루어져	0.0001353
이후,	0.0001350
우리	0.0001349
육군	0.0001348
.	0.0001347
지난	0.0001345
나온	0.0001344
않아	0.0001341
사용한	0.0001340
1976년	0.0001337
슈퍼	0.0001337
일제	0.0001335
정식	0.0001332
기존	0.0001332
당시의	0.0001332
정부의	0.0001331
사람의	0.0001331
부산	0.0001330
제임스	0.0001328
노선	0.0001328
2008	0.0001328
발매	0.0001326
힘을	0.0001326
a	0.0001323
교육	0.0001319
정보를	0.0001319
2013	0.0001319
매년	0.0001314
외	0.0001312
밖에	0.0001309
또,	0.0001307
통하여	0.0001307
하게	0.0001305
매주	0.0001305
조지	0.0001304
인기를	0.0001302
통한	0.0001300
최종	0.0001300
사회	0.0001299
지역을	0.0001299
준우승	0.0001297
1968년	0.0001295
2009	0.0001294
인간의	0.0001293
지역에서	0.0001292
조카	0.0001291
to	0.0001290
음력	0.0001288
나오는	0.0001285
몇몇	0.0001283
월드	0.0001282
의미한다.	0.0001281
최우수	0.0001277
생활을	0.0001276
뿐만	0.0001274
나는	0.0001273
너무	0.0001273
클럽	0.0001273
사용	0.0001272
나중에	0.0001270
관심을	0.0001268
기본	0.0001267
뛰어난	0.0001267
사는	0.0001265
1977년	0.0001261
서울대학교	0.0001261
1년	0.0001260
서비스	0.0001259
아래	0.0001259
정치적	0.0001258
선수이다.	0.0001256
한다는	0.0001255
일반적인	0.0001252
사람들은	0.0001251
그래서	0.0001251
선수권	0.0001250
기록을	0.0001247
의해서	0.0001247
경기를	0.0001247
중의	0.0001245
년	0.0001243
단	0.0001240
이루어진	0.0001240
내용을	0.0001239
과거	0.0001235
사람을	0.0001234
인하여	0.0001232
때에	0.0001230
떨어진	0.0001230
여객철도	0.0001228
왔다.	0.0001226
받는	0.0001226
선발	0.0001226
항공	0.0001225
—	0.0001224
주었다.	0.0001223
죽은	0.0001222
전혀	0.0001221
이것이	0.0001221
가	0.0001219
주장했다.	0.0001219
군사	0.0001219
자리를	0.0001219
등에서	0.0001216
스포츠	0.0001216
자신을	0.0001215
일어난	0.0001215
대해서	0.0001214
2011	0.0001211
활동	0.0001209
캐나다	0.0001208
편성	0.0001208
출신	0.0001207
여전히	0.0001206
속에	0.0001199
에	0.0001197
산	0.0001197
정도의	0.0001196
왕	0.0001195
그에	0.0001195
전투에서	0.0001194
어떻게	0.0001194
1946년	0.0001192
사실상	0.0001191
만들었다.	0.0001190
1962년	0.0001190
제1차	0.0001186
있지만	0.0001183
지원	0.0001180
1949년	0.0001179
1967년	0.0001178
13	0.0001175
있는데	0.0001175
시절	0.0001174
(	0.0001173
시기에	0.0001172
본래	0.0001171
1948년	0.0001169
되지	0.0001168
15	0.0001166
그해	0.0001164
주,	0.0001164
본관은	0.0001164
사용되는	0.0001164
다만	0.0001163
만약	0.0001162
성우	0.0001162
이듬해	0.0001162
선정	0.0001158
미국에서	0.0001157
for	0.0001155
알고	0.0001153
미니시리즈	0.0001153
점차	0.0001152
보는	0.0001151
대상으로	0.0001150
연도	0.0001150
설치	0.0001149
스페셜	0.0001147
올랐다.	0.0001147
기록했다.	0.0001146
비교적	0.0001146
속에서	0.0001145
이끄는	0.0001144
발표한	0.0001142
회장	0.0001142
20	0.0001141
기술	0.0001138
되고,	0.0001138
시스템	0.0001136
제국	0.0001136
형	0.0001136
윌리엄	0.0001134
작품	0.0001134
섬	0.0001133
시작되었다.	0.0001133
위치해	0.0001133
대우	0.0001133
기독교	0.0001133
고등학교	0.0001132
계약을	0.0001130
1.	0.0001129
이용한	0.0001129
연방	0.0001128
시대에	0.0001127
한다고	0.0001125
역대	0.0001125
와	0.0001123
재위	0.0001123
유명하다.	0.0001121
베스트	0.0001120
부문	0.0001119
외에	0.0001115
영업	0.0001114
역을	0.0001113
줄	0.0001113
음반	0.0001112
4년	0.0001112
흔히	0.0001112
중앙	0.0001110
14	0.0001110
1966년	0.0001110
사용하여	0.0001109
이로	0.0001107
행정	0.0001107
형태의	0.0001106
(투니버스)	0.0001106
16	0.0001105
내에	0.0001105
발표했다.	0.0001105
때의	0.0001105
이후에	0.0001104
적은	0.0001103
개인	0.0001103
영어	0.0001103
노래	0.0001101
1위를	0.0001100
지금의	0.0001100
젊은	0.0001100
오히려	0.0001096
1961년	0.0001094
대상	0.0001093
최근	0.0001093
떨어져	0.0001093
않을	0.0001092
외에도	0.0001092
II	0.0001092
1950년	0.0001091
도	0.0001091
등장하는	0.0001090
보이는	0.0001089
차이가	0.0001088
아주	0.0001088
자는	0.0001088
승리를	0.0001087
1960년	0.0001086
물론	0.0001086
2007	0.0001085
제1회	0.0001082
공개된	0.0001082
경남	0.0001081
보면	0.0001080
뒤를	0.0001080
부터	0.0001078
이용해	0.0001078
정부가	0.0001077
초등학교이다.	0.0001076
방식으로	0.0001074
올해의	0.0001073
과정을	0.0001072
1964년	0.0001072
자동차	0.0001071
이것을	0.0001070
사업	0.0001070
다섯	0.0001070
종종	0.0001069
일본에서	0.0001066
그런	0.0001065
을	0.0001064
팀은	0.0001063
비고	0.0001062
반드시	0.0001061
이끌고	0.0001060
후지	0.0001058
경북	0.0001058
동일한	0.0001058
경우는	0.0001057
태어난	0.0001056
시간이	0.0001055
특별한	0.0001055
팀이	0.0001055
정보	0.0001054
역사	0.0001052
에서	0.0001050
정치	0.0001050
있으나	0.0001048
내에서	0.0001047
그러한	0.0001046
해당하는	0.0001046
살고	0.0001046
지역은	0.0001044
그것을	0.0001044
명칭	0.0001043
러시아의	0.0001042
그린	0.0001042
사용하고	0.0001042
위의	0.0001039
위해서는	0.0001037
뒤,	0.0001034
지구	0.0001034
발매되었다.	0.0001034
빠른	0.0001034
이전에	0.0001032
되면서	0.0001031
발생한	0.0001030
하계	0.0001030
1965년	0.0001028
박사	0.0001027
이탈리아의	0.0001025
충청북도	0.0001023
도움을	0.0001022
뜻을	0.0001022
역으로	0.0001022
를	0.0001022
이르는	0.0001022
구성된	0.0001020
있었고,	0.0001020
국가의	0.0001019
남부	0.0001019
국회	0.0001018
우주	0.0001018
등장한다.	0.0001015
하면서	0.0001014
베트남	0.0001013
뜻한다.	0.0001012
세계에서	0.0001011
(,	0.0001010
받지	0.0001009
대표	0.0001007
사용되었다.	0.0001007
2014	0.0001004
넓이는	0.0001002
훨씬	0.0001001
I	0.0001001
소비에트	0.0001000
계획을	0.0000997
시,	0.0000997
뉴스	0.0000996
사회적	0.0000996
이다.	0.0000995
위	0.0000995
짧은	0.0000992
5년	0.0000992
앤	0.0000991
부임	0.0000988
지원을	0.0000988
LG	0.0000988
결과를	0.0000987
후에는	0.0000985
비디오	0.0000984
각각의	0.0000981
비록	0.0000980
지	0.0000978
최다	0.0000978
그것은	0.0000977
원년	0.0000976
넓은	0.0000976
타고	0.0000976
맡고	0.0000975
쓰는	0.0000975
1차	0.0000974
있으나,	0.0000974
km	0.0000973
설치되어	0.0000971
당	0.0000969
장남	0.0000969
하나	0.0000969
이야기	0.0000968
전쟁을	0.0000968
쓰인다.	0.0000966
스타크래프트	0.0000966
길이	0.0000966
온라인	0.0000966
되었으며,	0.0000966
것으로,	0.0000964
2006	0.0000964
시작한	0.0000963
가능성이	0.0000963
사건을	0.0000963
되면	0.0000962
사건이	0.0000962
번째로	0.0000961
이후에는	0.0000960
자유	0.0000959
운행	0.0000958
민주당	0.0000958
그에게	0.0000957
거대한	0.0000957
1955년	0.0000956
대학원	0.0000955
구조를	0.0000955
아니라,	0.0000954
사람	0.0000953
캘리포니아	0.0000952
폴란드	0.0000952
종류의	0.0000951
오랜	0.0000949
교수	0.0000948
해서	0.0000947
1944년	0.0000946
발표하였다.	0.0000946
파리	0.0000945
상당히	0.0000945
시간을	0.0000944
난	0.0000942
이야기를	0.0000941
인도	0.0000940
프로그램을	0.0000940
없다고	0.0000939
이유는	0.0000939
1954년	0.0000938
세웠다.	0.0000937
보였다.	0.0000937
전쟁이	0.0000937
처음에는	0.0000936
능력을	0.0000936
점을	0.0000935
방법을	0.0000935
2.	0.0000934
기술을	0.0000933
포함되어	0.0000932
최초	0.0000932
점에서	0.0000931
뮤직	0.0000931
―	0.0000931
승	0.0000931
때부터	0.0000931
얼마	0.0000930
세운	0.0000930
선수가	0.0000929
부르는	0.0000928
얻었다.	0.0000926
로버트	0.0000925
03월	0.0000924
1914년	0.0000921
사상	0.0000921
초	0.0000920
뉴	0.0000919
양	0.0000919
조선의	0.0000919
나고야	0.0000918
추가	0.0000918
신	0.0000917
오래된	0.0000916
대형	0.0000916
받게	0.0000916
이전의	0.0000915
공을	0.0000915
전남	0.0000915
데이터	0.0000915
기록하였다.	0.0000914
홋카이도	0.0000914
내의	0.0000913
나라	0.0000911
잠시	0.0000911
지낸	0.0000911
선의	0.0000911
역()은	0.0000911
예정이다.	0.0000910
홈	0.0000910
약간	0.0000909
좀	0.0000909
않고,	0.0000908
넘는	0.0000908
준공	0.0000908
대구	0.0000907
어떠한	0.0000907
02.	0.0000907
인가	0.0000906
높이	0.0000906
해군	0.0000906
런던	0.0000906
폰	0.0000905
히로시마	0.0000905
역사상	0.0000903
현의	0.0000903
시작	0.0000902
1,	0.0000901
웹	0.0000901
임명되었다.	0.0000901
차량	0.0000899
인민	0.0000899
방향으로	0.0000899
받을	0.0000898
아프리카	0.0000898
오늘날	0.0000898
성을	0.0000897
이들의	0.0000897
1947년	0.0000897
